Neuquen	Cipolletti	Fdez.Oro	Allen	Guerrico	J.J.Gomez	G.Roca
			5:15	5:35	5:45	6:00
			6:15	6:35	6:45	7:00
6:15	6.45	7:00	7:15	7:35	7:45	8:00
7:15	7:45	8:00	8:15	8:35	8:45	9:00
8:15	8:45	9:00	9:15	9:35	9:45	10:00
9:15	9.45	10.00	10:15	10:35	10:45	11:00
10:15	10:45	11:00	11:15	11:35	11:45	12:00
11:15	11:45	12:00	12:15	12:35	12:45	13:00
12:15	12:45	13:00	13:15	13:35	13:45	14:00
13:15	13:45	14:00	14:15	14:35	14:45	15:00
14:15	14:45	15:00	15:15	15:35	15:45	16:00
15:15	15:45	16:00	16:15	16:35	16:45	17:00
16:15	16:45	17:00	17:15	17:35	17:45	18:00
17:15	17:45	18:00	18:15	18:35	18:45	19:00
18:15	18:45	19:00	19:15	19:35	19:45	20:00
19:15	19:45	20:00	20:15	20:35	20:45	21:00
20:15	20:45	21:00	21:15	21:35	21:45	22:00
21:15	21:45	22:00	22:15	22:30	22:40	23:00
22:15	22:45	23:00	23:15			
[---]
G.Roca	J.J.Gomez	Guerrico	Allen	Fdez.Oro	Cipolletti	Neuquen
			5:00	5:15	5:30	6:00
			6:00	6:15	6:30	7:00
6:15	6:30	6:40	7:00	7:15	7:30	8:00
7:15	7:30	7:40	8:00	8:15	8:30	9:00
8:15	8:30	8:40	9:00	9:15	9:30	10:00
9:15	9:30	9:40	10:00	10:15	10:30	11:00
10:15	10:30	10:40	11:00	11:15	11:30	12:00
11:15	11:30	11:40	12:00	12:15	12:30	13:00
12:15	12:30	12:40	13:00	13:15	13:30	14:00
13:15	13:30	13:40	14:00	14:15	14:30	15:00
14:15	14:30	14:40	15:00	15:15	15:30	16:00
15:15	15:30	15:40	16:00	16:15	16:30	17:00
16:15	16:30	16:40	17:00	17:15	17:30	18:00
17:15	17:30	17:40	18:00	18:15	18:30	19:00
18:15	18:30	18:40	19:00	19:15	19:30	20:00
19:15	19:30	19:40	20:00	20:15	20:30	21:00
20:15	20:30	20:40	21:00	21:15	21:30	22:00
21:15	21:30	21:40	22:00			
22:15	22:30	22:40	23:00			
23:15	23:30	23:40	0:00			
