G.Roca	J.J.Gomez	Guerrico	Allen	Fdes.Oro	Cipolletti	Neuquen
			05:00	05:15	05:30	06:00
			06:00	06:15	06:30	07:00
06:10	06:25	06:35	06:55	07:15	07:30	08:05
06:55	07:10	07:20	07:40	08:00	08:15	08:50
07:55	08:10	08:20	08:40	09:00	09:15	09:35
08:30	08:45	08:55	09:15	09:35	09:50	10:25
09:30	09:45	09:50	10:10	10:30	10:45	11:20
10:30	10:45	10:55	11:15	11:35	11:50	12:25
11:10	11:25	11:35	11:55	12:15	12:30	13:05
11:55	12:10	12:20	12:40	13:00	13:15	13:50
12:50	13:05	13:15	13:35	13:55	14:10	14:45
13:50	14:05	14:15	14:35	14:55	15:10	15:45
14:50	15:05	15:15	15:35	15:50	16:10	16:45
15:30	15:45	15:55	16:15	16:35	16:50	17:25
16:15	16:30	16:40	17:00	17:20	17:35	18:10
17:10	17:25	17:35	17:55	18:15	18:30	19:05
18:10	18:25	18:35	18:55	19:15	19:30	20:05
19:10	19:25	19:35	19:55	20:15	20:30	21:00
19:45	20:00	20:10	20:30	20:50	21:05	21:40
20:35	20:50	21:00	21:20	21:40	21:55	22:30
21:30	21:45	21:55	22:10			
22:20	22:35	22:45	23:00			
[---]
Neuquen	Cipolletti	Fdes.Oro	Allen	Guerrico	J.J.Gomez	G.Roca
			06:15	06:25	06:40	06:50
			07:10	07:25	07:35	07:50
06:25	06:55	07:10	07:30	07:50	08:00	08:15
07:15	07:45	08:00	08:20	08:35	08:45	09:00
08:20	08:55	09:10	09:30	09:50	10:00	10:15
09:05	09:40	09:55	10:15	10:35	10:45	10:55
09:45	10:20	10:35	10:55	11:15	11:25	11:40
10:40	11:15	11:30	11:50	12:10	12:20	12:35
11:40	12:15	12:30	12:50	13:10	13:20	13:35
12:40	13:15	13:30	13:50	14:10	14:20	14:35
13:20	13:55	14:10	14:30	14:50	15:00	15:15
14:05	14:40	14:55	15:15	15:35	15:45	16:00
15:00	15:35	15:50	16:10	16:30	16:40	16:55
16:00	16:35	16:50	17:10	17:30	17:40	17:55
17:00	17:35	17:50	18:10	18:30	18:40	18:55
17:40	18:15	18:30	18:50	19:10	19:20	19:35
18:25	19:00	19:15	19:35	19:55	20:05	20:20
19:20	19:55	20:10	20:30	20:50	21:00	21:15
20:20	20:55	21:10	21:30	21:50	22:00	22:15
21:15	21:50	22:05	22:25	22:40	22:50	23:00
22:00	22:30	22:45	23:00	23:15	23:25	23:35
22:30	23:00	23:15	23:30			
