Neuquen	Cipolletti	Fdez.Oro	Allen	Guerrico	J.J.Gomez	G.Roca
			05:15	05:35	05:45	06:00
			06:15	06:25	06:35	06:50
06:15	6:45	07:00	07:15	07:35	07:45	08:00
07:15	07:45	08:00	08:15	08:35	08:45	09:00
08:15	08:45	09:00	09:15	09:35	09:45	10:00
09:15	9:45	10.00	10:15	10:35	10:45	11:00
10:15	10:45	11:00	11:15	11:35	11:45	12:00
11:15	11:45	12:00	12:15	12:35	12:45	13:00
12:15	12:45	13:00	13:15	13:35	13:45	14:00
13:15	13:45	14:00	14:15	14:35	14:45	15:00
14:15	14:45	15:00	15:15	15:35	15:45	16:00
15:15	15:45	16:00	16:15	16:35	16:45	17:00
16:15	16:45	17:00	17:15	17:35	17:45	18:00
17:15	17:45	18:00	18:15	18:35	18:45	19:00
18:15	18:45	19:00	19:15	19:35	19:45	20:00
19:15	19:45	20:00	20:15	20:35	20:45	21:00
20:15	20:45	21:00	21:15	21:35	21:45	22:00
21:15	21:45	22:00	22:15	22:30	22:40	23:00
22:15	22:45	23:00	23:15			
[---]
G.Roca	J.J.Gomez	Guerrico	Allen	Fdez.Oro	Cipolletti	Neuquen
			05:00	05:15	05:30	06:00
			06:00	06:15	06:30	07:00
06:15	06:30	06:40	07:00	07:15	07:30	08:00
07:15	07:30	07:40	08:00	08:15	08:30	09:00
08:15	08:30	08:40	09:00	09:15	09:30	10:00
09:15	09:30	09:40	10:00	10:15	10:30	11:00
10:15	10:30	10:40	11:00	11:15	11:30	12:00
11:15	11:30	11:40	12:00	12:15	12:30	13:00
12:15	12:30	12:40	13:00	13:15	13:30	14:00
13:15	13:30	13:40	14:00	14:15	14:30	15:00
14:15	14:30	14:40	15:00	15:15	15:30	16:00
15:15	15:30	15:40	16:00	16:15	16:30	17:00
16:15	16:30	16:40	17:00	17:15	17:30	18:00
17:15	17:30	17:40	18:00	18:15	18:30	19:00
18:15	18:30	18:40	19:00	19:15	19:30	20:00
19:15	19:30	19:40	20:00	20:15	20:30	21:00
20:15	20:30	20:40	21:00	21:15	21:30	22:00
21:15	21:30	21:40	22:00			
22:15	22:30	22:40	23:00			
23:15	23:30	23:40	00:00			
