Ref.	Bª Sta Catalina	HOSPITAL	Allen	Fdez. Oro	Cipolletti	Neuquén
A	05:20	05:23	05:28	05:40	05:55	06:25
CH	05:40	05:43	05:48	06:03	06:18	06:48
A	06:00	06:03	06:08	06:23	06:38	07:08
A	06:10	06:13	06:18	06:30	06:45	07:15
A	06:23	06:26	06:31	06:46	07:03	07:33
A	06:40	06:43	06:48	07:03	07:18	07:48
A	06:50	06:53	06:58	07:13	07:28	07:58
A	07:10	07:13	07:18	07:33	07:48	09:18
A	07:25	07:28	07:33	07:48	08:02	08:32
A		07:33	07:35	07:50	08:08	08:43
CH	07:45	07:48	07:53	08:08	08:23	08:53
A		08:00	08:05	08:20	08:35	09:05
CH		08:13	08:18	08:33	08:51	09:26
A	08:25	08:28	08:33	08:48	09:06	09:41
A	08:35	08:38	08:43	08:58	09:16	09:51
CH	08:45	08:48	08:53	09:08	09:26	10:01
A	09:05	09:08	09:13	09:28	09:46	10:16
CH	09:25	09:28	09:33	09:48	10:06	10:36
A	09:48	09:51	09:56	10:11	10:29	10:59
A		10:08	10:13	10:28	10:46	11:16
CH	10:23	10:26	10:31	10:46	11:04	11:34
A	10:38	10:41	10:46	11:01	11:19	11:49
A	10:50	10:53	10:58	11:13	11:31	12:01
CH	11:00	11:03	11:08	11:23	11:41	12:11
A	11:10	11:13	11:18	11:33	11:51	12:21
A	11:32	11:35	11:40	11:55	12:13	12:48
CH		11:45	11:50	12:05	12:23	12:58
A		12:00	12:05	12:20	12:38	13:13
A	12:35	12:38	12:43	12:58	13:16	13:51
A		12:55	13:00	13:15	13:33	14:08
CH		13:07	13:12	13:27	13:45	14:15
A	13:22	13:25	13:30	13:45	14:03	14:33
A	13:42	13:45	13:50	14:05	14:23	14:53
CH	13:55	13:58	14:03	14:18	14:36	15:06
A		14:18	14:23	14:38	14:56	15:26
A	14:35	14:38	14:43	14:58	15:16	15:46
A	15:00	15:03	15:08	15:23	15:41	16:11
CH		15:28	15:33	15:48	16:06	16:36
A	15:45	15:48	15:53	16:08	16:26	16:56
CH		16:00	16:05	16:20	16:38	17:08
A		16:13	16:18	16:33	16:51	17:21
A		16:35	16:40	16:55	17:13	17:43
A	16:47	16:50	16:55	17:10	17:28	17:58
A		17:00	17:05	17:20	17:38	18:08
A	17:20	17:23	17:28	17:43	18:01	18:31
CH		17:38	17:43	17:58	18:16	18:46
A	17:50	17:53	17:58	18:13	18:31	19:01
A		18:10	18:15	18:30	18:48	19:18
A		18:30	18:35	18:50	19:08	19:38
CH	18:47	18:50	18:55	19:10	19:28	19:58
A	19:00	19:03	19:08	19:23	19:41	20:11
A	19:17	19:20	19:25	19:40	19:58	20:28
A		19:35	19:40	19:55	20:13	20:43
A	19:47	19:50	19:55	20:10	20:28	20:58
CH		20:10	20:15	20:30	20:48	21:18
A	20:22	20:25	20:30	20:45	21:03	21:33
A	20:40	20:43	20:48	21:03	21:21	21:51
A	21:00	21:03	21:08	21:23	21:41	22:11
CH		21:30	21:35	21:50	22:08	22:38
A	21:42	21:45	21:50	22:05	22:23	22:53
A	22:27	22:30	22:35	22:50	23:08	23:38
A		23:10	23:15	23:30	23:48	00:18
A		00:15	00:20	00:35	00:53	01:23
[---]
Ref.	Neuquén	Cipolletti	Fdez. Oro	Allen	hospital	sta catalina
A	06:45	07:15	07:30	07:45	07:50	
A	06:55	07:25	07:40	07:55	08:00	
A	07:15	07:45	08:00	08:15	08:20	08:23
A	07:30	08:00	08:15	08:30	08:35	08:38
CH	07:45	08:15	08:30	08:45	08:50	08:53
A	08:05	08:35	08:50	09:05	09:10	09:13
A	08:20	08:50	09:05	09:20	09:25	09:28
A	08:35	09:05	09:20	09:35	09:38	
A	08:45	09:15	09:30	09:45	09:48	09:53
