G. Roca	Allen	Cipolletti	Neuquen
06:10		07:00	07:15
06:40		07:30	07:50
07:50		08:30	08:50
08:50		09:30	09:50
09:50		10:30	10:50
10:50		11:40	12:00
11:40		12:30	12:50
12:40		13:30	13:50
13:50	14:10	14:50	15:05
14:50		15:40	16:00
15:40		16:30	16:50
16:30		17:20	17:40
17:40		18:30	18:50
18:40		19:30	19:50
19:50		20:30	20:50
20:45	21:25		
21:50	22:30		
22:20	23:00		
[---]
Neuquen	Cipolletti	Allen	G. Roca
		05:30	06:00
		06:00	06:35
		06:50	07:50
	07:40		08:20
08:05	08:25		09:15
09:05	09:25		10:15
10:05	10:25		11:15
11:05	11:25		12:15
12:25	12:45		13:40
13:05	13:25	13:45	14:20
14:05	14:25	14:45	15:20
15:05	15:25	15:45	16:20
16:05	16:25		17:15
17:05	17:25		18:15
17:55	18:15		19:10
19:05	19:25		20:15
20:05	20:25		21:15
21:05	21:25		22:15
