V. Regina	Huergo	G. Roca	Allen	Cipolletti	Neuquen	Terminal
			05:10	05:30	05:50	06:00
		05:30	06:05	06:25	06:40	06:50
05:15	06:35	06:10	06:50	07:10	07:30	07:45
		06:55		07:55	08:15	
06:00	06:20	07:00	07:40	08:00	08:20	08:35
06:30	06:50	07:30	08:10	08:30	08:50	09:05
07:00	07:20	08:00	08:40	09:00	09:20	09:35
07:30	07:50	08:30	09:10	09:30	09:50	10:05
08:00	08:20	09:00	09:40	10:00	10:20	10:35
08:30	08:50	09:30	10:10	10:30	10:50	11:05
09:00	09:20	10:00	10:40	11:00	11:20	11:35
		10:30	11:10	11:30	11:50	
10:00	10:20	11:00	11:40	12:00	12:20	12:35
11:00	11:20	12:00	12:40	13:00	13:20	13:35
12:00	12:20	13:00	13:40	14:00	14:20	14:35
12:30	12:50	13:30	14:10	14:30	14:50	15:05
		13:20	13:55	14:15	14:35	
13:00	13:20	14:00	14:40	15:00	15:20	15:35
13:40	14:00	14:30	15:10	15:30	15:50	16:05
14:00	14:20	15:00	15:40	16:00	16:20	16:35
14:30	14:50	15:30	16:10	16:30	16:50	17:05
15:00	15:20	16:00	16:40	17:00	17:20	17.35
		16:50		17:40	18:00	
16:00	16:20	17:00	17:40	18:00	18:20	18:35
17:00	17:20	18:00	18:40	19:00	19:20	19:35
18:00	18:20	19:00	19:40	20:00	20:20	20:35
		19:20		20:20	20:40	
18:30	18:50	19:30	20:10	20:30	20:50	21:05
19:00	19:20	20:00	20:40	21:00	21:20	21.35
19:30	19:50	20:30	21:05	21:25	21:50	
20:00	20:20	21:00	21:40	22:00	22:20	22:30
21:00	21:20	22:00	22:40	23:00	23:20	23:35
		22:10	22:40			
[---]
Terminal	Neuquen	Cipolletti	Allen	G.Roca	Huergo	Regina
			06:10	06:50	07:15	07:40
06:10	06:20	06:40	07:00	07:40	08:05	08:25
07:10	07:20	07:40	08:00	08:40	09:05	09:25
07:55	08:10	08:30	08:50	09:30	09:55	10:20
	08:40	09:00	09:20	10:00		
08:55	09:10	09:30	09:50	10:30	10:55	11:20
09:25	09:40	10:00	10:20	11:00	11:25	11:50
09:55	10:10	10.30	10:50	11:30	11:55	12:20
10:25	10:40	11:00	11:20	12:00	12:25	12:50
10:55	11:10	11:30	11:50	12:30	12:55	13:20
11:25	11:40	12:00	12:20	13:00	13:25	13:50
11:55	12:10	12:30	12:50	13:30	13:55	14:20
	12:05	12:25		13:15		
12:55	13:10	13:30	13:50	14:30	14:55	15:20
13:55	14:10	14:30	14:50	15:30	15:55	16:20
14:55	15:10	15:30	15:50	16:30	16:55	17:20
15:25	15:40	16:00	16:20	17:00	17:25	17:50
	15:05	15:25	15:45	16:20		
15:55	16:10	16:30	16:50	17:30	17:55	18:20
16:25	16:40	17:00	17:20	18:00	18:25	18:50
16:55	17:10	17:30	17:50	18:30	18:55	19:20
17:25	17:40	18:00	18:20	19:00	19:25	19:50
17:55	18:10	18.30	18:50	19:30	19:55	20:20
	18:05	18:25		19:15		
18:55	19:10	19.30	19.50	20:30	20:55	21:20
19:50	20:10	20:30	20:50	21:30	21:55	22:20
20:55	21:10	21:30	21:50	22:30	22:55	23:20
	21:05	21:25		22:10		
21:25	21:40	22:00	22:20	23:00	23:25	23:50
21:55	22:10	22:30	22:50	23:25		
	22:00	22:20	22:40			
22:30	22:40	23:05	23:30	00:00		
