Allen	Isla 10	Fdez. Oro	Puente 83	Cipolletti
6:00	6:15	6:25	6:35	6:50
	7:20	7:30	7:40	7:55
	8:25	8:35	8:45	8:55
	9:25	9:40	9:50	10:15
	11:05	11:20	11:30	12:10
	12:40	12:50	12:55	13:05
15:40	16:00	16:10	16:20	16:35
	17:35	17:45	17:55	18:35
	19:50	20:05	20:15	20:45
[---]
Cipolletti	Puente 83	Fdez. Oro	Isla 10	Allen
6:50	7:00	7:05	7:20	
7:55	8:05	8:15	8:25	
8:55	9:10	9:15	9:25	
10:15	10:25	10:35	10:45	
12:10	12:25	12:30	12:40	
13:05	13:15	13:25	13:35	14:00
16:35	16:45	16:50	17:10	
18:35	18:55	19:05	19:15	
20:45	20:55	21:00	21:10	21:25
