Allen	Isla 10	Fdez. Oro	Puente 83	Cipolletti
06:00	06:15	06:25	06:35	06:45
	07:20	07:30	07:40	07:55
	08:25	08:35	08:45	08:50
	09:25	09:40	09:50	10:00
	11:05	11:20	11:30	11:40
	12:40	12:50	12:55	12:50
15:40	16:00	16:10	16:20	16:25
	17:35	17:45	17:55	18:00
	19:50	20:05	20:15	20:30
[---]
Cipolletti	Puente 83	Fdez. Oro	Isla 10	Allen
06:50	07:00	07:05	07:20	
07:55	08:05	08:15	08:25	
08:55	09:10	09:15	09:25	
10:15	10:25	10:35	10:45	
12:10	12:25	12:30	12:40	
13:05	13:15	13:25	13:35	14:00
16:35	16:45	16:50	17:10	
18:35	18:55	19:05	19:15	
20:45	20:55	21:00	21:10	21:25
