Villa Regina	Chichinales	Las 500 Moño Azul	PuenteV	Valle Azul	Lote5
06:00	06:15	06:25	06:35	06:55	
06:45	07:05	07:15	07:25	07:40	07:50
09:30	09:50	10:00	10:10	10:25	
11:30	11:50	12:00	12:10	12:25	12:40
15:15	15:35	15:45	16:00	16:10	16:25
18:00	18:25	18:35	18:45	19:00	19:10
21:00	21:25	21:35	21:45	21:55	
[---]
Lote5	Valle Azul	PuenteV	Las 500 Moño Azul	Chichinales	Villa Regina
	07:00	07:15	07:30	07:45	08:00
08:05	08:15	08:30	08:40	08:55	09:20
	10:30	10:45	10:55	11:05	11:20
12:45	13:00	13:15	13:30	13:40	14:00
16:25	16:35	16:55	17:10	17:20	17:40
19:25	19:30	19:45	20:00	20:15	20:40
	22:00	22:15	22:30	22:45	23:00
